form,meaning,type,etymology
箭,arrow; a type of bamboo,pictophonetic,bamboo
箱,"box, case; chest, trunk",pictophonetic,bamboo
箴,"needle, probe; to admonish, to warn",pictophonetic,bamboo
节,"festival; knot, joint; segment; to economize, to save",ideographic,Simplified form of 節; sections of bamboo ⺮
篁,bamboo grove,pictophonetic,bamboo
范,"pattern, model, example; surname",pictophonetic,plant
篆,"seal script; seal, stamp",pictophonetic,bamboo
篇,"chapter, section; article, essay",ideographic,A bamboo ⺮ tablet 扁; 扁 also provides the pronunciation
箧,"trunk, chest, box; portfolio",ideographic,A bamboo ⺮ box 匚; 夹 provides the pronunciation
篌,ancient Chinese harp,pictophonetic,bamboo
筼,tall bamboo,pictophonetic,bamboo
篙,a pole used to punt a boat,pictophonetic,bamboo
篚,round covered-basket,pictophonetic,bamboo
篝,bamboo basket; bamboo frame,pictophonetic,bamboo
篡,"to sieze, to usurp",pictophonetic,private
笃,"deep, serious; genuine, sincere, true",,
篥,"bugle, Tartar horn",pictophonetic,flute
篦,fine-toothed comb; to comb one's hair,ideographic,A bamboo ⺮ hair 囟 comb; 比 provides the pronunciation
筛,"screen, sieve; to filter, to sift",pictophonetic,bamboo
篪,bamboo flute,pictophonetic,bamboo
筚,"wicker, bamboo",pictophonetic,bamboo
篷,"awning, covering; sail, tarp; boat",pictophonetic,bamboo
篹,to edit; to collect; a bamboo basket,pictophonetic,seal
纂,"to edit, to compile; to tie a knot",pictophonetic,thread
篼,wicker basket; sedan chair,ideographic,A bamboo ⺮ pouch 兜; 兜 also provides the pronunciation
篾,bamboo splints or slats,ideographic,A framework 罒 made of bamboo ⺮
箦,reed mat; bedding,pictophonetic,bamboo
簇,"bunch, cluster; crowd, swarm",pictophonetic,bamboo
簉,subordinate; deputy; concubine,pictophonetic,bamboo
簋,bamboo basket for grain,ideographic,A bamboo ⺮ basket 皿 used to store food 艮
簌,to rustle; falling flower petals,pictophonetic,bamboo
篓,bamboo basket,pictophonetic,bamboo
簏,"box, basket",pictophonetic,bamboo
蓑,straw raincoat,pictophonetic,grass
箪,a small bamboo basket for rice,pictophonetic,bamboo
簟,bamboo mat,pictophonetic,bamboo
简,"simple, succinct, terse; a letter",pictophonetic,bamboo
篑,a bamboo basket for carrying soil,pictophonetic,bamboo
簦,bamboo or straw hat; street-vendor's umbrella,pictophonetic,bamboo
簧,"reed; lock, metal spring",pictophonetic,bamboo
簪,"hairpin, clasp; to wear in the hair",pictophonetic,bamboo
箫,bamboo flute,pictophonetic,bamboo
簸,"dustpan; to winnow, to toss",pictophonetic,bamboo
筜,tall bamboo,pictophonetic,bamboo
签,"to sign, to endorse; a note, a slip of paper",pictophonetic,bamboo
簿,"register, notebook, account book",pictophonetic,bamboo
籀,"to read, to recite; a style of calligraphy",ideographic,A hand 扌 writing 留 with a bamboo ⺮ brush
篮,basket; goal,pictophonetic,bamboo
筹,"chip, tally, token; to plan; to raise money",pictophonetic,bamboo
籍,"register, record, list, census",pictophonetic,bamboo
藤,"ivy, creeper",pictophonetic,plant
籑,"to feed, to provide for; danties, delicacies",pictophonetic,food
馔,"to feed, support, provide for; food",pictophonetic,food
箓,"book, record; book of prophecy",ideographic,A bamboo ⺮ record 录; 录 also provides the pronunciation
箨,"bamboo sheath, bamboo shoots",pictophonetic,bamboo
籁,"bamboo flute; flute, pipe; a musical note",pictophonetic,flute
笼,basket; cage; bamboo basket used to serve dimsum,pictophonetic,bamboo
笾,bamboo container for food,pictophonetic,bamboo
簖,a bamboo trap for catching fish,pictophonetic,bamboo
篱,"bamboo fence; fence, hedge",pictophonetic,bamboo
箩,bamboo basket,pictophonetic,bamboo
米,"rice, millet, grain",pictographic,Grains of rice
籼,non-glutinous long-grain rice,pictophonetic,rice
籽,"seed, pit, pip",ideographic,A grain 米 seed 子; 子 also provides the pronunciation
粉,"powder, flour, cosmetic powder; plaster",pictophonetic,grain
粑,"tsamba, flat rice cake",pictophonetic,rice
粒,"grain, granule; bullet, pellet",pictophonetic,grain
粕,"sediment, lees, dregs",pictophonetic,grain
粗,"rough, think; coarse, rude",pictophonetic,grain
粘,"viscous, sticky, mucous, glutinous",pictophonetic,grain
粞,ground rice; to thresh rice,pictophonetic,rice
粟,"oats, millet, barley",ideographic,A millet plant 米 bearing grain 覀
粢,common millet; grain offered as a sacrifice,pictophonetic,millet
粥,"porridge, gruel, congee",ideographic,Steaming 弓 rice 米
粱,"sorghum, millet",pictophonetic,millet
粲,"bright, radiant; smiling; to polish",,
粤,Cantonese; Guandong province,,
粹,"pure, unadulterated; essence",pictophonetic,grain
粼,"clear, limpid (as of water)",pictophonetic,river
粽,a dumpling made of glutinous rice,pictophonetic,rice
精,"essence, germ, spirit",pictophonetic,grain
糅,"to mix, to blend; mixed",pictophonetic,grain
糈,"pay, rations; sacrificial rice",pictophonetic,rice
糌,"zanba, barley bread",pictophonetic,grain
糍,sticky rice; mochi,pictophonetic,rice
糕,"cake, pastry",pictophonetic,rice
糖,"candy, sugar, sweets",pictophonetic,rice
糗,"dry rations; mushy, overcooked; embarrassing",ideographic,Rice 米 that stinks 臭; 臭 also provides the pronunciation
糙,"coarse, harsh, rough; coarse rice",pictophonetic,rice
糜,"rice gruel, congee; mashed",pictophonetic,rice
糁,to mix; a grain of rice,pictophonetic,rice
粪,"manure, dung; shit, excrement",pictophonetic,grain
糟,"sediment, dregs; to waste, to spoil",pictophonetic,grain
糢,rice snacks,pictophonetic,rice
粮,"food, grain, provisions",pictophonetic,grain
糨,"starch, paste; to starch",pictophonetic,rice
糬,sticky rice; mochi,pictophonetic,rice
粝,coarse rice; brown rice,ideographic,Rice 米 that must be ground 厉; 厉 also provides the pronunciation
籴,to purchase grain; to store grain,ideographic,A house 入 where grain 米 is stored
粜,to sell grain,ideographic,A stand 出 where grain 米 is sold
糸,silk; thread,pictographic,A twisted strand of silk
纟,silk; thread,pictographic,A twisted strand of silk; see 糸
纠,"tangled; to investigate, to unravel",ideographic,To connect 丩 threads 纟; 丩 also provides the pronunciation
纪,"discipline, age; period, era; record, annal",pictophonetic,thread
纣,"saddle strap, harness; an emperor",pictophonetic,thread
约,"treaty, covenant, agreement",pictophonetic,thread
红,"red, vermillion; to blush, to flush; popular",pictophonetic,silk
纡,"to twist, to turn, to bend; to distort",pictophonetic,thread
纥,"inferior silk; tassel, knot, fringe",pictophonetic,silk
纨,gauze; fine white silk,pictophonetic,silk
纫,"to sew, to stitch; to thread a needle",ideographic,To thread 纟 a needle 刃; 刃 also provides the pronunciation
紊,"tangled; confused, disordered",pictophonetic,thread
纹,"line, stripe; pattern, decoration; wrinkle",pictophonetic,thread
纳,"to adopt, to accept; to receive, to take",pictophonetic,silk
纽,"knot; button, handle; tie",pictophonetic,thread
纾,"to relieve; to relax, to loosen; to extricate",ideographic,A thread 纟 with some give 予; 予 also provides the pronunciation
纯,"pure, clean; simple, genuine",pictophonetic,silk
纰,"carelessness; error, mistake; spoiled silk",pictophonetic,silk
纱,"gauze, muslin, yarn",pictophonetic,thread
级,"level, rank; class, grade",pictophonetic,silk
纷,"tangled, scattered; numerous, confused",pictophonetic,thread
纭,confused; numerous,pictophonetic,thread
纴,"to lay warp, to weave; to stitch, to sew",pictophonetic,thread
素,plain; white; vegetarian; formerly; normally,ideographic,A silken thread 糸 hanging off a tree 龶
纺,"to spin, to weave, to reel",pictophonetic,thread
索,"cable, rope; rules, laws; to demand, to exact; to search, to inquire",ideographic,A rope 糸 hanging from the ceiling 冖
紫,"purple, violet; amethyst; surname",pictophonetic,silk
累,"tired; to accumulate; to involve; bother, nuisance",ideographic,Simplified form of 纍; growing silk 糸 in the fields 畾; 畾 also provides the pronunciation
细,"fine, detailed; slender, thin",pictophonetic,silk
绂,a cord or ribbon used to hang ornaments,ideographic,A thread 纟 on which ornaments are hung 犮
绁,"to shorten, to contract; tie, leash",pictophonetic,thread
绅,"girdle, tie; gentry; to bend",pictophonetic,silk
绍,to connect; to introduce,pictophonetic,thread
绀,"purple, violet",pictophonetic,silk
绋,thick rope; the rope around a bier,pictophonetic,thread
绐,"to pretend, to fool, to cheat",pictophonetic,thread
绌,"to stitch, to sew; insufficient",pictophonetic,thread
终,"end; finally, in the end",pictophonetic,thread
组,"to form, to assemble; section, department",pictophonetic,thread
绊,"a loop of thread; shackles, fetters; to stumble, to trip",pictophonetic,thread
绗,to quilt,pictophonetic,thread
结,"knot, tie; to connect, to join",pictophonetic,thread
絓,"to hinder, to obstruct",pictophonetic,thread
绝,"to cut, to sever; to break off, to terminate",pictophonetic,thread
絘,a tax on rolls of cloth,pictophonetic,silk
绦,"silk cord; sash, ribbon, cord",pictophonetic,silk
絜,"line, marking; to assess, to measure",pictophonetic,thread
绔,"pants, trousers, underwear",ideographic,Extravagant 夸 silk 纟 clothes; 夸 also provides the pronunciation
绞,"intertwined; to twist, to wring; to hang a criminal",pictophonetic,thread
络,"web, net; to entangle",pictophonetic,thread
绚,"variegated, adorned; brilliant",pictophonetic,silk
给,"to give, to lend; for, by",pictophonetic,thread
绒,"cotton, silk, velvet, wool",pictophonetic,silk
絮,"cotton padding; fluff, padding, waste; long-winded",pictophonetic,silk
统,"to govern, to command; to gather, to unite",pictophonetic,thread
丝,"silk, fine thread; wire; strings",ideographic,"Simplified form of 絲, two threads"
绛,deep red; a river in Shanxi province,pictophonetic,silk
绢,a kind of thick stiff silk,pictophonetic,silk
絻,mourning veil,pictophonetic,silk
绑,"to tie, to fasten, to bind",pictophonetic,thread
绡,raw silk,pictophonetic,silk
绠,thick rope; well-rope,pictophonetic,thread
绨,"coarse pongee, heavy silk",pictophonetic,silk
绣,to embroider; embroidery; ornament,pictophonetic,silk
绥,"to soothe, to pacify, to appease",pictophonetic,silk
经,"the classics; to experience, to undergo",pictophonetic,thread
综,to sum up; to arrange threads for weaving,pictophonetic,thread
绿,green; chlorine,pictophonetic,silk
绸,"silk cloth, satin damask",pictophonetic,silk
绻,"attached, inseparable, in love",pictophonetic,thread
綦,dark gray; variegated; superlative,pictophonetic,silk
线,"line, thread, wire; clue, trail",pictophonetic,thread
绶,a silk ribbon used as a seal,pictophonetic,silk
维,"to preserve, to maintain, to hold together",pictophonetic,thread
綮,embroidered banner,ideographic,A silk 糸 banner over a door 户
绾,"to string together, to bind up",pictophonetic,thread
纲,"program, outline; principle, guiding thread",pictophonetic,thread
网,net; network,pictographic,A net for catching fish
绷,"to bind, to strap, to draw firm",pictophonetic,thread
缀,"to connect, to join; to patch up, to stitch together",ideographic,To bind 叕 by thread 纟; 叕 also provides the pronunciation
綷,five-color silk,pictophonetic,silk
纶,silk thread; to twist together; to classify,ideographic,To spin thread 纟 into order 仑; 仑 also provides the pronunciation
绺,"skein; tuft, lock; wrinkle",ideographic,A wrinkle 咎 in a silk 纟 garment; 纟 also provides the pronunciation
绮,"fine silk; elegant, beautiful",pictophonetic,silk
绽,to crack; to burst open; to split at the seams,pictophonetic,thread
绰,"graceful, delicate; spacious",pictophonetic,silk
绫,"thin silk, damask silk",pictophonetic,silk
绵,"continuous, unbroken; cotten, silk; soft, downy",ideographic,A continuous thread 纟 of silk 帛
绲,"belt, cord, sash; hemming; to sew",pictophonetic,thread
缁,black silk,ideographic,Black 甾 silk 纟; 甾 also provides the pronunciation
紧,"tense, tight, taut; firm, secure",pictophonetic,silk
绯,"crimson, scarlet; purple",pictophonetic,silk
繁,"complex, difficult; many, diverse",pictophonetic,silk
绪,"mental state; thread, clue",pictophonetic,thread
绱,"the sole of a shoe; to patch, to sole",pictophonetic,thread
缃,light-yellow color,pictophonetic,silk
缂,the woof of a woven item,pictophonetic,thread
缉,"to sieze, to arrest; to stich closely",pictophonetic,thread
缎,satin,pictophonetic,silk
缔,"to tie, to join; knot, connection",pictophonetic,thread
缗,fishing line; cord; a string of coins,pictophonetic,thread
缘,"reason, cause; fate; margin, hem",pictophonetic,thread
褓,swaddling cloth; infancy,ideographic,A cloth 衤 used to protect 保 an infant; 保 also provides the pronunciation
缌,fine linen,pictophonetic,silk
编,"to knit, to weave; to arrange, to compile",pictophonetic,thread
缓,"slow, gradual; to postpone, to delay",pictophonetic,thread
缅,"distant, remote; to think of",pictophonetic,thread
纬,warp and woof; lines of latitude,pictophonetic,thread
缑,a tassel on a sword hilt; surname,pictophonetic,silk
缈,"dim, indistinct; distant; minute",ideographic,A veil 纟 over the eyes 眇; 眇 also provides the pronunciation
练,"to drill, to exercise; to practice, to train",pictophonetic,thread
缏,"hem; to braid, to plait",pictophonetic,thread
缇,"orange-red silk; red, brown",pictophonetic,silk
致,"to send; to present, to deliver; to cause; consequence",pictophonetic,rap
萦,"to coil, to entangle, to entwine",pictophonetic,thread
缙,red silk,pictophonetic,silk
缢,to hang; to strangle,pictophonetic,thread
缒,"to climb a rope; to hang, to rappel",pictophonetic,thread
绉,"crepe, imitation silk; wrinkles, creases",pictophonetic,silk
缣,fine silk,pictophonetic,silk
缊,"tangled hemp, raveled silk; vague, confused",pictophonetic,silk
缚,"to tie, to bind",pictophonetic,thread
缜,"fine, detailed; closely woven",pictophonetic,thread
缟,plain white silk,pictophonetic,silk
缛,"elegant, decorative, adorned",pictophonetic,silk
县,"county, district, subdivision",,
縩,the sound of fabric rustling,pictophonetic,silk
缝,"to sew, to mend",pictophonetic,thread
缡,"bridal veil; to tie, to bind",pictophonetic,silk
缩,"to withdraw, to shrink, to pull back; abbreviation",pictophonetic,thread
纵,"to indulge in, to give free reign to",pictophonetic,thread
缧,"chains, bonds",pictophonetic,thread
纤,"fine, delicate; tiny, minute",pictophonetic,silk
缦,"plain silk; simple, plain",pictophonetic,silk
